surge_factor,discount_factor,revenue_gain_pct
0.3,0.2,-0.8279592761723891
0.3,0.3,-1.2884412165817198
0.3,0.4,-1.7780445794972688
0.3,0.5,-2.2967693649190357
0.3,0.6,-2.8446155728470015
0.3,0.7,-3.4215807925571697
0.3,0.8,-4.027065491963889
0.4,0.2,-0.8263013729201715
0.4,0.3,-1.2867833133294828
0.4,0.4,-1.7763866762450318
0.4,0.5,-2.2951114616667985
0.4,0.6,-2.8429576695947647
0.4,0.7,-3.419922889304952
0.4,0.8,-4.025407588711652
0.5,0.2,-0.8247545742297555
0.5,0.3,-1.2852365146390863
0.5,0.4,-1.7748398775546352
0.5,0.5,-2.2935646629764017
0.5,0.6,-2.841410870904368
0.5,0.7,-3.4183760906145553
0.5,0.8,-4.0238607900212555
0.6,0.2,-0.8233188801011799
0.6,0.3,-1.2838008205104914
0.6,0.4,-1.7734041834260403
0.6,0.5,-2.2921289688478073
0.6,0.6,-2.8399751767758117
0.6,0.7,-3.4169403964859604
0.6,0.8,-4.022425095892661
0.7,0.2,-0.8219942905344061
0.7,0.3,-1.2824762309437368
0.7,0.4,-1.7720795938592857
0.7,0.5,-2.2908043792810524
0.7,0.6,-2.8386505872090186
0.7,0.7,-3.415615806919206
0.7,0.8,-4.021100506325906
0.8,0.2,-0.8207808055294918
0.8,0.3,-1.2812627459388033
0.8,0.4,-1.770866108854352
0.8,0.5,-2.2895908942761
0.8,0.6,-2.8374371022041043
0.8,0.7,-3.414402321914273
0.8,0.8,-4.019887021320953
0.9,0.2,-0.8196784250863601
0.9,0.3,-1.2801603654956908
0.9,0.4,-1.7697637284112204
0.9,0.5,-2.2884885138329873
0.9,0.6,-2.836334721760953
0.9,0.7,-3.413299941471141
0.9,0.8,-4.018784640877841
1.0,0.2,-0.8186871492050687
1.0,0.3,-1.2791690896143801
1.0,0.4,-1.7687724525299289
1.0,0.5,-2.287497237951696
1.0,0.6,-2.835343445879681
1.0,0.7,-3.4123086655898494
1.0,0.8,-4.017793364996549
1.1,0.2,-0.817806977885579
1.1,0.3,-1.2782889182949098
1.1,0.4,-1.7678922812104585
1.1,0.5,-2.286617066632225
1.1,0.6,-2.834463274560191
1.1,0.7,-3.4114284942703597
1.1,0.8,-4.01691319367706
1.2,0.2,-0.8170379111279297
1.2,0.3,-1.2775198515372603
1.2,0.4,-1.76712321445279
1.2,0.5,-2.285847999874557
1.2,0.6,-2.8336942078025418
1.2,0.7,-3.4106594275127105
1.2,0.8,-4.016144126919411
